episode,step,px,py,died
1,20,2,8,0
1,40,2,1,0
1,60,10,8,0
1,80,8,5,0
1,100,4,1,0
1,120,9,2,0
1,140,1,1,0
1,160,10,8,0
1,180,7,5,0
1,200,4,1,0
1,220,1,2,0
1,240,7,8,0
1,260,5,1,0
1,280,9,8,0
1,300,9,6,0
1,320,7,5,0
1,340,8,4,0
1,360,3,10,0
1,380,4,7,0
1,400,7,10,0
1,420,1,3,0
1,440,1,3,0
1,460,3,9,0
1,480,1,10,0
1,500,7,2,0
1,520,6,5,0
1,540,2,8,0
1,560,6,1,0
1,580,8,6,0
1,600,2,2,0
1,620,10,9,0
1,640,9,5,0
1,660,2,9,0
1,680,1,5,0
1,700,2,3,0
1,720,10,2,0
1,740,10,5,0
1,760,1,7,0
1,780,5,7,0
1,800,1,1,0
1,820,10,8,0
1,840,10,10,0
1,860,2,6,0
1,880,3,9,0
1,900,7,3,0
1,920,2,9,0
1,940,7,5,0
1,960,6,10,0
1,980,3,1,0
1,1000,4,8,0
1,1020,5,2,0
1,1040,9,10,0
1,1060,1,1,0
1,1080,7,8,0
1,1100,10,4,0
1,1120,1,8,0
1,1140,9,2,0
1,1160,9,3,0
1,1180,8,2,0
1,1200,9,1,0
1,1220,4,8,0
1,1240,1,4,0
1,1260,2,3,0
1,1280,7,3,0
1,1300,8,6,0
1,1320,8,9,0
1,1340,1,9,0
1,1360,6,1,0
1,1380,1,3,0
1,1400,6,8,0
1,1420,7,7,0
1,1440,3,5,0
1,1460,1,3,0
1,1480,4,5,0
1,1500,9,1,0
1,1520,1,4,0
1,1540,5,8,0
1,1560,5,10,0
1,1580,9,4,0
1,1600,1,7,0
1,1620,1,7,0
1,1640,8,2,0
1,1660,9,8,0
1,1680,5,7,0
1,1700,8,10,0
1,1720,10,4,0
1,1740,9,3,0
1,1760,6,1,0
1,1780,4,7,0
1,1800,5,2,0
1,1820,1,5,0
1,1840,5,1,0
1,1860,3,6,0
1,1880,4,3,0
1,1900,1,3,0
1,1920,3,8,0
1,1940,4,5,0
1,1960,7,7,0
1,1980,1,9,0
1,2000,3,7,0
1,2020,5,9,0
1,2040,3,1,0
1,2060,4,2,0
1,2080,2,2,0
1,2100,1,4,0
1,2120,4,7,0
1,2140,8,1,0
1,2160,3,4,0
1,2180,9,10,0
1,2200,2,7,0
1,2220,1,5,0
1,2240,8,3,0
1,2260,1,8,0
1,2280,2,2,0
1,2300,1,10,0
1,2320,8,4,0
1,2340,6,10,0
1,2360,7,1,0
1,2380,4,1,0
1,2400,7,2,0
1,2420,10,10,0
1,2440,8,2,0
1,2460,5,1,0
1,2480,3,2,0
1,2500,2,7,0
1,2520,10,1,0
1,2540,3,4,0
1,2560,4,9,0
1,2580,10,2,0
1,2600,7,9,0
1,2620,10,5,0
1,2640,1,10,0
1,2660,10,8,0
1,2680,7,6,0
1,2700,9,3,0
1,2720,1,7,0
1,2740,1,5,0
1,2760,3,5,0
1,2780,6,9,0
1,2800,4,5,0
1,2820,2,5,0
1,2840,8,2,0
1,2860,8,9,0
1,2880,2,8,0
1,2900,10,6,0
1,2920,1,7,0
1,2940,7,6,0
1,2960,8,1,0
1,2980,3,5,0
1,3000,7,10,0
1,3020,3,8,0
1,3040,5,7,0
1,3060,5,8,0
1,3080,5,10,0
1,3100,1,6,0
1,3120,9,9,0
1,3140,2,3,0
1,3160,3,8,0
1,3180,3,3,0
1,3200,10,3,0
1,3220,5,9,0
1,3240,3,3,0
