episode,total_reward,win,epsilon,steps
1,-0.68,0,1.0,14
2,-0.54,0,1.0,5
3,-0.6,0,1.0,9
4,-0.66,0,1.0,15
5,-0.53,0,1.0,8
6,-0.69,0,1.0,8
7,-0.53,0,0.999,7
8,-0.63,0,0.999,7
9,-0.6,0,0.999,11
10,-0.95,0,0.999,22
11,-0.7,0,0.999,8
12,-0.53,0,0.999,11
13,-0.82,0,0.999,17
14,-0.51,0,0.999,8
15,-0.66,0,0.999,10
16,-0.61,0,0.999,6
17,-0.73,0,0.999,9
18,-0.56,0,0.999,10
19,-0.5,0,0.999,3
20,-1.08,0,0.998,30
21,-0.59,0,0.998,12
22,-0.62,0,0.998,8
23,-0.6,0,0.998,12
24,-0.63,0,0.998,7
25,-0.65,0,0.998,11
26,-0.75,0,0.998,12
27,-1.05,0,0.998,25
28,-0.96,0,0.997,25
29,-0.62,0,0.997,9
30,-0.59,0,0.997,11
31,-0.67,0,0.997,9
32,-0.61,0,0.997,10
33,-0.65,0,0.997,7
34,-0.72,0,0.997,12
35,-0.65,0,0.997,7
36,-0.92,0,0.997,16
37,-0.61,0,0.997,21
38,-0.81,0,0.996,21
39,-0.54,0,0.996,6
40,-0.85,0,0.996,26
41,0.96,1,0.996,6
42,-0.63,0,0.996,8
43,0.98,1,0.996,4
44,-0.5,0,0.996,8
45,-0.54,0,0.996,9
46,-0.65,0,0.996,12
47,-0.81,0,0.996,20
48,-0.87,0,0.995,21
49,-0.51,0,0.995,4
50,0.96,1,0.995,5
51,0.81,1,0.995,13
52,-0.8,0,0.995,10
53,-0.85,0,0.995,20
54,-0.77,0,0.995,30
55,0.94,1,0.995,7
56,-0.63,0,0.995,14
57,-0.55,0,0.995,4
58,-0.55,0,0.995,6
59,-0.6,0,0.995,5
60,-0.61,0,0.994,11
61,-0.71,0,0.994,14
62,0.65,0,0.994,21
63,-0.66,0,0.994,14
64,-0.78,0,0.994,15
65,0.82,1,0.994,14
66,-0.67,0,0.994,8
67,-0.56,0,0.994,6
68,-0.64,0,0.994,11
69,-0.53,0,0.994,9
70,-0.54,0,0.993,8
71,-0.54,0,0.993,11
72,-0.62,0,0.993,8
73,-0.57,0,0.993,8
74,-0.58,0,0.993,10
75,-0.57,0,0.993,12
76,-0.6,0,0.993,10
77,-0.79,0,0.993,19
78,-0.5,0,0.993,5
79,-0.66,0,0.993,22
80,-0.56,0,0.993,12
81,0.95,1,0.992,6
82,-0.5,0,0.992,4
83,-0.6,0,0.992,7
84,-0.5,0,0.992,7
85,0.77,0,0.992,12
86,-0.64,0,0.992,5
87,-0.62,0,0.992,6
88,-0.84,0,0.992,13
89,-0.56,0,0.992,5
90,-0.68,0,0.992,10
91,0.89,1,0.992,7
92,0.96,1,0.992,4
93,-0.69,0,0.992,13
94,-0.65,0,0.992,11
95,-0.84,0,0.992,12
96,-0.54,0,0.992,7
97,-0.66,0,0.991,10
98,-0.68,0,0.991,10
99,-0.6,0,0.991,12
100,-0.71,0,0.991,11
101,-0.64,0,0.991,14
102,-0.69,0,0.991,8
103,-0.6,0,0.991,13
104,-0.85,0,0.991,31
105,-0.9,0,0.99,28
106,-0.81,0,0.99,12
107,-0.57,0,0.99,9
108,0.92,1,0.99,16
109,-0.73,0,0.99,14
110,-0.76,0,0.99,11
111,-0.7,0,0.99,10
112,-0.68,0,0.99,16
113,-0.74,0,0.99,18
114,-0.59,0,0.99,9
115,-0.55,0,0.989,10
116,-0.63,0,0.989,13
117,-0.84,0,0.989,18
118,-0.56,0,0.989,10
119,-0.64,0,0.989,9
120,-0.63,0,0.989,8
121,-0.68,0,0.989,9
122,0.83,1,0.989,26
123,-0.48,0,0.989,3
124,-0.81,0,0.989,19
125,-0.71,0,0.988,17
126,-0.94,0,0.988,37
127,-0.69,0,0.988,8
128,0.96,1,0.988,5
129,-0.78,0,0.988,15
130,-0.65,0,0.988,5
131,-0.59,0,0.988,10
132,-0.6,0,0.988,10
133,-0.72,0,0.988,17
134,-0.63,0,0.988,7
135,0.71,0,0.987,22
136,-0.78,0,0.987,15
137,-0.68,0,0.987,13
138,-0.51,0,0.987,4
139,-0.67,0,0.987,8
140,-0.54,0,0.987,5
141,-0.64,0,0.987,9
142,0.91,1,0.987,4
143,-0.55,0,0.987,9
144,-0.6,0,0.987,9
145,-0.62,0,0.987,8
146,-0.55,0,0.987,8
147,-0.58,0,0.987,9
148,-0.82,0,0.986,14
149,0.9,1,0.986,9
150,-0.57,0,0.986,7
151,-0.56,0,0.986,8
152,-0.72,0,0.986,16
153,-0.6,0,0.986,6
154,-0.54,0,0.986,6
155,-0.57,0,0.986,8
156,-0.65,0,0.986,8
157,-0.52,0,0.986,6
158,-0.72,0,0.986,8
159,-0.61,0,0.986,13
160,-0.49,0,0.986,10
161,0.95,1,0.986,5
162,-0.5,0,0.986,4
163,-0.58,0,0.985,10
164,-0.63,0,0.985,8
165,-0.59,0,0.985,11
166,-0.73,0,0.985,8
167,-0.6,0,0.985,4
168,-0.54,0,0.985,3
169,-0.63,0,0.985,7
170,-0.65,0,0.985,6
171,-0.66,0,0.985,15
172,-0.62,0,0.985,11
173,-0.56,0,0.985,8
174,0.89,1,0.985,12
175,-0.57,0,0.985,6
176,-0.76,0,0.985,14
177,-0.58,0,0.985,6
178,-0.52,0,0.984,8
179,-0.67,0,0.984,19
180,-0.69,0,0.984,12
181,-0.62,0,0.984,12
182,-0.67,0,0.984,10
183,-0.75,0,0.984,13
184,-0.59,0,0.984,4
185,-0.61,0,0.984,9
186,-0.54,0,0.984,10
187,-0.63,0,0.984,11
188,-0.8,0,0.983,23
189,0.97,1,0.983,5
190,-0.78,0,0.983,21
191,-0.58,0,0.983,8
192,-0.59,0,0.983,15
193,-0.84,0,0.983,18
194,-0.52,0,0.983,4
195,0.96,1,0.983,8
196,-0.6,0,0.983,5
197,-0.56,0,0.983,9
198,-0.54,0,0.983,10
199,0.96,1,0.983,6
200,-0.99,0,0.982,33
201,-0.74,0,0.982,12
202,-0.68,0,0.982,15
203,-0.64,0,0.982,7
204,-0.71,0,0.982,9
205,-0.62,0,0.982,9
206,-0.78,0,0.982,10
207,-0.59,0,0.982,13
208,-0.66,0,0.982,5
209,-0.6,0,0.982,10
210,-0.63,0,0.982,9
211,-0.69,0,0.981,11
212,-0.69,0,0.981,12
213,-0.6,0,0.981,14
214,-0.57,0,0.981,16
215,-0.66,0,0.981,11
216,-0.71,0,0.981,19
217,-0.57,0,0.981,6
218,-0.64,0,0.981,14
219,-0.68,0,0.981,8
220,-0.59,0,0.981,4
221,-0.62,0,0.981,7
222,-0.5,0,0.981,4
223,-0.59,0,0.98,10
224,-0.77,0,0.98,24
225,-0.68,0,0.98,11
226,-0.55,0,0.98,7
227,-0.66,0,0.98,9
228,-0.63,0,0.98,11
229,-0.72,0,0.98,14
230,-0.68,0,0.98,7
231,-0.63,0,0.98,8
232,-0.74,0,0.98,16
233,-0.63,0,0.98,13
234,-0.67,0,0.979,13
235,-0.6,0,0.979,10
236,0.8,0,0.979,16
237,-0.63,0,0.979,5
238,-0.72,0,0.979,11
239,-0.53,0,0.979,10
240,-0.85,0,0.979,21
241,-0.67,0,0.979,8
242,-0.6,0,0.979,7
243,-0.66,0,0.979,10
244,-0.74,0,0.978,18
245,-0.67,0,0.978,6
246,-0.64,0,0.978,16
247,-0.51,0,0.978,6
248,-0.58,0,0.978,7
249,-0.54,0,0.978,8
250,-0.58,0,0.978,9
251,-0.54,0,0.978,11
252,-0.57,0,0.978,15
253,-0.55,0,0.978,12
254,-0.6,0,0.978,6
255,-0.67,0,0.978,12
256,-0.68,0,0.978,12
257,-0.75,0,0.977,10
258,-0.77,0,0.977,20
259,-0.68,0,0.977,12
260,-0.52,0,0.977,9
261,-0.63,0,0.977,7
262,-0.66,0,0.977,9
263,-0.71,0,0.977,19
264,-0.67,0,0.977,11
265,-0.75,0,0.977,12
266,-0.59,0,0.977,9
267,-0.67,0,0.976,18
268,-0.81,0,0.976,17
269,-0.51,0,0.976,6
270,-0.77,0,0.976,16
271,-0.66,0,0.976,8
272,-0.59,0,0.976,11
273,-0.77,0,0.976,15
274,-0.56,0,0.976,6
275,-0.59,0,0.976,8
276,-0.55,0,0.976,7
277,-0.55,0,0.976,4
278,-0.49,0,0.976,3
279,-0.54,0,0.976,10
280,-0.75,0,0.975,13
281,-0.72,0,0.975,13
282,-0.68,0,0.975,11
283,0.94,1,0.975,3
284,-0.55,0,0.975,10
285,-0.56,0,0.975,8
286,-0.6,0,0.975,6
287,-1.21,0,0.975,47
288,-0.63,0,0.975,14
289,-0.58,0,0.975,7
290,-0.59,0,0.975,5
291,-0.71,0,0.974,9
292,-0.68,0,0.974,5
293,-0.49,0,0.974,10
294,-0.68,0,0.974,17
295,-0.61,0,0.974,8
296,-0.69,0,0.974,10
297,-0.57,0,0.974,7
298,-0.65,0,0.974,9
299,-0.66,0,0.974,9
300,-0.6,0,0.974,5
301,-0.74,0,0.974,11
302,-0.69,0,0.974,9
303,-0.56,0,0.974,7
304,-0.88,0,0.973,16
305,-0.82,0,0.973,30
306,-0.71,0,0.973,11
307,-0.65,0,0.973,9
308,-0.62,0,0.973,21
309,-0.65,0,0.973,17
310,-0.68,0,0.973,12
311,-0.61,0,0.973,9
312,-0.68,0,0.973,13
313,0.96,1,0.972,5
314,-0.81,0,0.972,21
315,-0.61,0,0.972,4
