episode,total_reward,win,epsilon,steps
1683,1045.64,1,0.562,51
1684,1047.91,1,0.562,24
1685,1047.67,1,0.562,28
1686,-1052.33,0,0.561,28
1687,-1056.83,0,0.561,48
1688,-1051.39,0,0.561,14
1689,-1051.66,0,0.561,21
1690,-1050.04,0,0.56,9
1691,-1052.4,0,0.56,25
1692,-1050.37,0,0.56,7
1693,-1050.59,0,0.56,14
1694,-1053.83,0,0.56,28
1695,-1052.68,0,0.559,33
1696,-1054.56,0,0.559,41
1697,-1053.67,0,0.558,42
1698,-1050.7,0,0.558,15
1699,-1051.58,0,0.558,18
1700,1048.68,1,0.558,17
1701,-1052.02,0,0.558,22
1702,-1063.6,0,0.556,110
1703,-1051.25,0,0.556,15
1704,-1053.15,0,0.556,30
1705,-1051.24,0,0.556,14
1706,1049.23,1,0.556,12
1707,-1050.74,0,0.556,14
1708,-1058.96,0,0.555,91
1709,-1050.22,0,0.555,7
1710,-1053.64,0,0.554,39
1711,-1051.77,0,0.554,22
1712,-1050.8,0,0.554,5
1713,-1051.53,0,0.554,13
1714,-1051.58,0,0.554,18
1715,-1050.82,0,0.553,12
1716,-1052.42,0,0.553,22
1717,-1053.41,0,0.553,36
1718,-1052.0,0,0.552,30
1719,1046.44,1,0.552,31
1720,1045.45,1,0.552,40
1721,-1053.34,0,0.551,24
1722,-1050.47,0,0.551,12
1723,1047.17,1,0.551,28
1724,-1055.69,0,0.55,59
1725,-1052.58,0,0.55,23
1726,-1051.78,0,0.55,23
1727,-1051.55,0,0.55,15
1728,1047.06,1,0.549,29
1729,-1051.12,0,0.549,22
1730,-1.38,0,0.549,18
1731,-6.03,0,0.548,63
1732,-1055.24,0,0.548,44
1733,1047.55,1,0.548,25
1734,-1050.76,0,0.548,6
1735,-1056.42,0,0.547,62
1736,-1051.39,0,0.547,14
1737,-1053.43,0,0.546,33
1738,-1051.45,0,0.546,15
1739,-1050.55,0,0.546,10
1740,-1052.27,0,0.546,27
1741,-1053.12,0,0.546,32
1742,-1063.49,0,0.544,114
