episode,step,px,py,died
50,0,2,8,0
50,1,2,7,0
50,2,2,7,0
50,3,1,7,0
50,4,1,7,0
50,5,1,6,0
50,6,1,5,0
50,7,1,5,0
50,8,2,5,0
50,9,2,5,0
50,10,2,5,0
50,11,2,5,0
50,12,2,5,0
50,13,2,5,0
50,14,2,5,0
50,15,2,4,0
50,16,2,4,0
50,17,2,4,0
50,18,2,4,0
50,19,2,4,0
50,20,2,4,0
50,21,2,3,1
100,0,5,12,0
100,1,5,12,0
100,2,5,12,0
100,3,5,12,0
100,4,5,12,0
100,5,5,12,0
100,6,5,12,0
100,7,5,12,0
100,8,4,12,0
100,9,4,12,0
100,10,4,13,0
100,11,4,13,0
100,12,4,14,0
100,13,4,14,0
100,14,4,14,0
100,15,4,14,0
100,16,4,14,0
100,17,4,14,0
100,18,4,13,0
100,19,4,12,0
100,20,4,12,0
100,21,3,12,0
100,22,3,12,0
100,23,3,12,0
100,24,3,12,0
100,25,3,12,1
150,0,3,13,0
150,1,3,13,0
150,2,3,13,0
150,3,3,13,0
150,4,3,13,0
150,5,3,13,0
150,6,3,13,0
150,7,3,13,0
150,8,3,13,0
150,9,3,13,0
150,10,3,13,0
150,11,3,13,0
150,12,3,13,0
150,13,3,13,0
150,14,4,13,0
150,15,4,13,0
150,16,4,13,0
150,17,5,13,0
150,18,5,13,0
150,19,6,13,0
150,20,6,13,0
150,21,6,13,0
150,22,6,13,0
150,23,7,13,0
150,24,8,13,0
150,25,8,13,0
150,26,8,13,1
200,0,9,3,0
200,1,9,3,0
200,2,9,3,0
200,3,9,4,0
200,4,9,4,0
200,5,9,4,0
200,6,9,4,0
200,7,9,3,0
200,8,9,3,0
200,9,9,3,0
200,10,8,3,0
200,11,8,3,0
200,12,8,3,0
200,13,8,3,0
200,14,9,3,0
200,15,9,3,0
200,16,9,2,0
200,17,9,2,0
200,18,9,1,0
200,19,9,1,0
200,20,9,1,0
200,21,9,1,0
200,22,9,1,0
200,23,9,1,0
250,0,15,7,0
250,1,15,7,0
250,2,15,7,0
250,3,15,6,0
250,4,15,5,0
250,5,15,5,0
250,6,15,5,0
250,7,15,5,0
250,8,15,5,0
250,9,16,5,0
250,10,16,5,0
250,11,16,5,0
250,12,16,5,0
250,13,16,4,0
250,14,16,4,0
250,15,16,3,0
250,16,16,3,1
300,0,7,13,0
300,1,7,13,0
300,2,7,14,0
300,3,7,14,0
300,4,6,14,0
300,5,6,14,0
300,6,6,14,0
300,7,6,14,0
300,8,6,14,0
300,9,6,13,0
300,10,6,13,0
300,11,6,13,0
300,12,6,12,0
300,13,6,12,0
300,14,6,12,0
300,15,6,12,0
300,16,6,12,0
300,17,6,11,1
350,0,10,6,0
350,1,10,6,0
350,2,10,6,0
350,3,10,5,0
350,4,10,4,0
350,5,10,4,0
350,6,10,4,0
350,7,11,4,0
350,8,11,4,0
350,9,11,5,0
350,10,11,5,0
350,11,11,5,0
350,12,11,5,0
350,13,12,5,0
350,14,13,5,0
350,15,13,5,0
350,16,13,5,0
350,17,13,5,0
350,18,13,5,0
350,19,13,4,1
400,0,12,7,0
400,1,12,7,0
400,2,12,7,0
400,3,12,7,0
400,4,12,7,0
400,5,12,7,0
400,6,12,6,0
400,7,12,6,0
400,8,13,6,0
400,9,13,6,0
400,10,13,6,0
400,11,14,6,0
400,12,14,6,0
400,13,14,6,0
400,14,14,6,0
400,15,14,7,0
400,16,14,7,0
400,17,14,7,0
400,18,14,7,0
400,19,14,7,0
400,20,14,6,0
400,21,14,6,0
400,22,14,6,0
400,23,14,6,0
400,24,14,6,0
400,25,14,6,1
450,0,8,12,0
450,1,8,11,0
450,2,8,10,0
450,3,8,10,0
450,4,8,10,0
450,5,8,9,0
450,6,8,9,0
450,7,8,8,0
450,8,8,8,0
450,9,8,8,0
450,10,8,7,1
500,0,5,14,0
500,1,5,14,0
500,2,5,14,0
500,3,5,14,0
500,4,5,14,0
500,5,5,14,0
500,6,5,13,0
500,7,5,13,0
500,8,5,13,0
500,9,4,13,0
500,10,3,13,0
500,11,3,13,0
500,12,3,13,0
500,13,3,13,1
550,0,1,16,0
550,1,1,16,0
550,2,2,16,0
550,3,2,16,0
550,4,3,16,0
550,5,3,16,0
550,6,3,16,0
550,7,3,16,0
550,8,3,16,0
550,9,3,16,0
550,10,3,16,0
550,11,3,16,0
550,12,3,16,0
550,13,3,16,0
550,14,3,16,0
550,15,3,16,0
550,16,4,16,0
550,17,4,16,0
550,18,4,16,0
550,19,4,16,0
550,20,4,17,0
550,21,4,17,0
550,22,4,17,0
550,23,4,17,0
550,24,4,17,0
550,25,4,17,0
550,26,3,17,0
550,27,3,17,0
550,28,2,17,0
550,29,2,17,0
550,30,2,16,0
550,31,2,16,0
550,32,2,16,0
550,33,2,15,0
550,34,2,15,0
550,35,2,15,0
550,36,2,15,1
600,0,18,3,0
600,1,18,3,0
600,2,18,3,0
600,3,18,2,0
600,4,18,2,0
600,5,18,2,1
650,0,17,11,0
650,1,17,11,0
700,0,13,9,0
700,1,14,9,0
700,2,15,9,0
700,3,15,9,0
700,4,15,9,0
700,5,15,9,0
700,6,15,9,1
750,0,15,2,0
750,1,15,2,0
750,2,15,2,0
750,3,15,2,0
750,4,15,2,0
750,5,15,2,0
750,6,15,2,0
750,7,15,1,0
750,8,15,1,0
750,9,15,1,0
750,10,15,1,0
750,11,15,1,0
750,12,15,1,0
750,13,15,2,0
750,14,15,2,0
750,15,16,2,0
750,16,16,2,0
750,17,16,2,0
750,18,16,2,0
750,19,16,2,0
750,20,16,1,0
750,21,16,1,0
750,22,16,1,0
750,23,17,1,0
750,24,17,1,0
750,25,17,1,1
800,0,7,11,0
800,1,7,11,0
800,2,7,11,0
800,3,7,11,0
800,4,7,12,0
800,5,7,12,0
800,6,7,12,0
800,7,7,12,0
800,8,7,12,0
800,9,7,12,0
800,10,8,12,0
800,11,8,12,0
800,12,8,12,0
800,13,7,12,0
800,14,7,12,0
800,15,7,12,0
800,16,6,12,0
800,17,6,12,0
800,18,6,13,0
800,19,6,14,0
800,20,6,14,0
800,21,6,14,0
800,22,6,14,0
800,23,5,14,0
800,24,5,14,0
800,25,5,14,0
800,26,5,14,0
800,27,5,14,0
800,28,5,15,0
800,29,5,15,0
800,30,5,16,0
800,31,5,16,0
800,32,5,16,0
800,33,4,16,0
800,34,4,16,0
800,35,4,16,0
800,36,4,16,0
800,37,4,16,0
800,38,4,16,0
800,39,4,16,1
850,0,7,16,0
850,1,7,16,0
850,2,7,16,0
850,3,7,16,0
850,4,7,16,0
850,5,7,16,0
850,6,7,16,0
850,7,7,16,0
850,8,7,16,0
850,9,7,16,0
850,10,7,16,0
850,11,7,16,0
850,12,7,16,0
850,13,7,16,0
850,14,7,16,0
850,15,7,16,0
850,16,7,16,0
850,17,7,16,0
850,18,7,17,0
850,19,7,17,0
850,20,7,17,0
850,21,8,17,0
850,22,8,17,0
850,23,8,18,0
850,24,8,18,0
850,25,9,18,0
850,26,10,18,0
850,27,10,18,0
850,28,11,18,0
850,29,11,18,0
850,30,11,18,0
850,31,11,18,0
850,32,11,18,0
850,33,11,18,0
850,34,11,18,1
900,0,10,2,0
900,1,10,2,0
900,2,10,2,0
900,3,10,2,0
900,4,10,2,0
900,5,10,2,0
900,6,10,3,0
900,7,10,3,0
900,8,10,3,0
900,9,10,3,0
900,10,11,3,0
900,11,12,3,0
900,12,13,3,0
900,13,13,3,0
900,14,13,3,0
900,15,13,3,0
900,16,13,3,0
900,17,13,3,0
900,18,13,3,0
900,19,14,3,0
900,20,14,3,0
900,21,14,3,0
900,22,14,3,0
900,23,14,3,0
900,24,14,3,0
900,25,14,3,0
900,26,14,3,0
900,27,14,3,0
900,28,14,3,0
900,29,14,3,1
950,0,9,6,0
950,1,9,6,0
950,2,9,6,0
950,3,8,6,0
950,4,7,6,0
950,5,6,6,0
950,6,5,6,0
950,7,4,6,0
950,8,3,6,0
950,9,3,6,0
950,10,3,6,0
950,11,3,6,0
950,12,3,6,0
950,13,3,6,0
950,14,3,6,0
950,15,3,7,0
950,16,3,7,1
1000,0,10,13,0
1000,1,10,14,0
1000,2,10,14,0
1000,3,10,14,0
1000,4,11,14,0
1000,5,11,14,0
1000,6,11,14,0
1000,7,11,13,0
1000,8,11,13,0
1000,9,11,12,0
1000,10,11,12,0
1000,11,11,12,0
1000,12,11,12,0
1000,13,11,12,0
1000,14,10,12,0
1000,15,10,12,0
1000,16,10,12,0
1000,17,9,12,0
1000,18,8,12,0
1000,19,7,12,0
1000,20,6,12,0
1000,21,6,12,0
1000,22,6,12,0
1000,23,6,12,0
1000,24,7,12,0
1000,25,7,12,0
1000,26,7,12,0
1000,27,7,12,0
1000,28,7,12,0
1000,29,8,12,0
1000,30,8,12,0
1000,31,8,11,0
1000,32,8,10,0
1000,33,8,10,0
1000,34,8,10,0
1000,35,8,9,0
1000,36,8,8,1
1050,0,14,14,0
1050,1,14,14,0
1050,2,14,14,0
1050,3,14,14,0
1050,4,14,14,0
1050,5,14,14,0
1050,6,14,14,0
1050,7,13,14,0
1050,8,12,14,0
1050,9,12,14,0
1050,10,12,15,0
1050,11,12,16,0
1050,12,12,16,0
1050,13,12,16,0
1050,14,12,16,0
1050,15,12,16,0
1050,16,12,16,0
1050,17,12,16,0
1050,18,11,16,0
1050,19,10,16,0
1050,20,10,16,0
1050,21,10,16,0
1050,22,10,16,0
1050,23,10,16,0
1050,24,10,16,0
1050,25,10,16,0
1050,26,9,16,0
1050,27,9,16,0
1050,28,9,16,0
1050,29,9,16,0
1050,30,9,16,0
1050,31,9,16,0
1050,32,9,16,1
1100,0,5,8,0
1100,1,6,8,0
1100,2,6,8,0
1100,3,6,8,0
1100,4,6,8,0
1100,5,6,8,0
1100,6,6,8,0
1100,7,6,8,0
1100,8,6,8,0
1100,9,6,8,0
1100,10,6,8,0
1100,11,6,8,1
1150,0,1,10,0
1150,1,1,10,0
1150,2,1,10,0
1150,3,1,10,0
1150,4,1,10,0
1150,5,1,10,0
1150,6,1,10,0
1150,7,1,10,1
1200,0,8,18,0
1200,1,8,18,0
1200,2,8,18,0
1200,3,8,18,0
1200,4,8,18,1
1250,0,6,6,0
1250,1,6,6,0
1250,2,6,6,0
1250,3,6,6,0
1250,4,6,6,0
1250,5,5,6,0
1250,6,5,6,0
1250,7,5,5,0
1250,8,5,5,0
1250,9,5,5,0
1250,10,5,6,0
1250,11,5,6,0
1250,12,5,6,0
1250,13,5,7,0
1250,14,5,7,0
1250,15,5,7,0
1250,16,5,7,1
1300,0,1,6,0
1300,1,1,6,0
1300,2,1,6,0
1300,3,1,6,0
1300,4,1,6,0
1300,5,1,6,0
1300,6,2,6,0
1300,7,2,6,0
1300,8,2,6,0
1300,9,2,6,0
1300,10,2,6,0
1300,11,2,6,0
1300,12,2,7,0
1300,13,2,7,0
1300,14,3,7,0
1300,15,4,7,0
1300,16,4,7,0
1350,0,14,14,0
1350,1,14,14,0
1350,2,14,14,0
1350,3,15,14,0
1350,4,15,14,0
1350,5,15,14,0
1350,6,15,15,0
1350,7,15,16,0
1350,8,15,16,0
1350,9,15,16,0
1350,10,15,16,0
1350,11,15,16,0
1350,12,15,16,0
1350,13,15,16,0
1350,14,15,16,0
1350,15,15,16,0
1350,16,15,16,0
1350,17,15,16,0
1350,18,15,15,0
1350,19,15,15,0
1350,20,15,15,0
1350,21,15,15,0
1350,22,16,15,0
1350,23,16,15,0
1350,24,17,15,0
1350,25,17,15,0
1350,26,17,15,0
1350,27,17,15,0
1350,28,17,15,0
1350,29,17,15,0
1350,30,18,15,0
1350,31,18,15,0
1350,32,18,15,0
1350,33,18,15,0
