episode,reward,win,epsilon,q_size,avg_q,steps
100,-79.25,0,0.996,73,0.086,25
200,-25.53,1,0.993,73,-0.893,23
300,-65.47,0,0.989,73,-1.443,17
400,-78.15,0,0.986,74,-2.187,25
500,-62.73,0,0.982,74,-3.169,13
600,-56.15,0,0.979,74,-4.334,5
700,-56.36,0,0.975,74,-4.542,6
800,-97.49,0,0.972,74,-5.598,39
900,-88.59,0,0.968,74,-7.1,29
1000,-77.96,0,0.965,74,-8.0,36
1100,-63.81,0,0.961,75,-8.802,11
1200,-55.14,0,0.958,76,-9.579,4
1300,85.64,1,0.954,76,-10.009,16
1400,-54.44,0,0.951,76,-11.307,4
1500,-55.46,0,0.947,76,-11.874,6
1600,-64.12,0,0.944,76,-12.99,12
1700,-12.82,1,0.94,76,-13.269,12
1800,-81.11,0,0.937,77,-14.011,31
1900,-60.01,0,0.933,77,-14.38,11
2000,-60.58,0,0.93,80,-14.061,8
2100,-75.96,0,0.926,80,-14.259,26
2200,-78.95,0,0.923,80,-14.583,25
2300,-85.93,0,0.919,80,-14.797,33
2400,-102.35,0,0.916,80,-15.173,45
2500,97.13,1,0.912,80,-15.175,7
2600,-59.26,0,0.909,80,-15.552,6
2700,-82.92,0,0.905,80,-16.003,32
2800,-88.34,0,0.901,80,-16.436,34
2900,-80.52,0,0.898,80,-16.656,32
3000,-53.74,0,0.894,80,-15.952,4
3100,-58.16,0,0.891,80,-15.663,6
3200,-59.82,0,0.887,80,-15.804,12
3300,-76.61,0,0.884,80,-15.899,21
3400,-59.1,0,0.88,80,-16.212,10
3500,-55.86,0,0.877,80,-16.013,6
3600,-68.27,0,0.873,80,-16.086,17
3700,-71.25,0,0.87,80,-16.063,25
3800,-86.13,0,0.866,80,-15.832,33
3900,-67.56,0,0.863,80,-15.811,16
4000,-61.71,1,0.859,80,-16.192,11
4100,-67.76,0,0.856,80,-16.622,16
4200,-75.61,0,0.852,80,-16.265,21
4300,-78.29,0,0.849,80,-16.694,29
4400,-75.73,0,0.845,80,-16.042,23
4500,-67.36,0,0.842,80,-15.654,16
4600,-60.11,0,0.838,80,-15.671,11
4700,-73.5,0,0.835,81,-15.385,20
4800,-67.15,0,0.831,81,-15.573,15
4900,-67.12,0,0.828,81,-15.064,12
5000,-73.94,0,0.824,81,-15.455,24
5100,30.72,1,0.821,81,-15.33,18
5200,-68.88,0,0.817,81,-15.375,18
5300,-95.12,0,0.814,81,-15.525,42
5400,-76.67,0,0.81,81,-15.942,27
5500,-64.48,0,0.806,81,-16.185,18
5600,-56.81,0,0.803,81,-15.945,11
5700,-76.02,0,0.799,81,-14.451,22
5800,95.44,1,0.796,81,-14.614,6
5900,86.32,1,0.792,83,-14.241,18
6000,-67.49,0,0.789,83,-13.537,19
6100,-55.25,0,0.785,83,-14.076,5
6200,-61.65,0,0.782,83,-14.118,15
6300,90.77,1,0.778,84,-13.383,13
6400,98.87,1,0.775,84,-13.115,3
6500,-54.25,0,0.771,84,-13.341,5
6600,-55.87,0,0.768,84,-13.097,7
6700,76.06,1,0.764,84,-12.26,24
6800,74.14,1,0.761,84,-12.295,26
6900,-56.68,0,0.757,84,-12.585,8
7000,-60.09,0,0.754,84,-12.653,9
7100,41.99,1,0.75,84,-12.628,11
7200,-64.24,0,0.747,84,-12.608,14
7300,-57.29,0,0.743,84,-12.666,9
7400,-57.79,0,0.74,84,-12.843,9
7500,87.95,1,0.736,84,-12.593,15
7600,-69.59,0,0.733,84,-12.457,19
7700,-3.85,1,0.729,84,-12.574,55
7800,-68.84,0,0.726,84,-11.746,24
7900,-89.91,0,0.722,84,-11.778,41
8000,-60.21,0,0.719,84,-11.306,11
8100,-64.03,0,0.715,84,-11.34,13
8200,-79.27,0,0.711,84,-10.66,27
8300,82.3,1,0.708,84,-10.726,20
8400,-59.03,0,0.704,84,-10.593,13
8500,-57.46,0,0.701,84,-11.003,6
8600,98.75,1,0.697,84,-11.347,5
8700,95.01,1,0.694,85,-10.664,9
8800,80.2,1,0.69,85,-10.546,20
8900,-69.7,0,0.687,85,-11.065,20
9000,-84.18,0,0.683,85,-10.575,48
9100,92.2,1,0.68,85,-10.31,10
9200,-56.06,0,0.676,85,-10.476,6
9300,-59.69,0,0.673,85,-10.102,9
9400,-63.0,0,0.669,85,-10.158,10
9500,-74.4,0,0.666,85,-10.038,30
9600,97.44,1,0.662,85,-9.232,6
9700,-75.93,0,0.659,85,-8.554,33
9800,-58.78,0,0.655,85,-8.117,18
9900,-15.04,1,0.652,85,-8.152,14
10000,-55.99,0,0.648,85,-7.735,9
10100,-80.52,0,0.645,85,-7.116,32
10200,-71.0,0,0.641,85,-8.346,20
10300,-55.64,0,0.638,85,-8.144,4
10400,-59.08,0,0.634,85,-7.618,8
10500,-71.83,0,0.631,85,-7.841,23
10600,-94.99,0,0.627,85,-7.283,39
10700,-82.79,0,0.624,85,-7.427,39
10800,-82.94,0,0.62,85,-7.446,24
10900,-65.54,0,0.616,85,-6.299,14
11000,-65.73,0,0.613,85,-5.846,13
11100,-71.39,0,0.609,86,-6.385,19
11200,-70.11,0,0.606,86,-6.206,21
11300,-59.11,0,0.602,86,-6.302,11
11400,-57.3,0,0.599,86,-5.665,10
11500,-63.04,0,0.595,86,-5.1,14
11600,-60.8,0,0.592,86,-5.262,10
11700,-57.17,0,0.588,86,-5.253,7
11800,98.06,1,0.585,86,-4.591,4
11900,-61.12,0,0.581,86,-3.364,12
12000,30.64,1,0.578,86,-4.069,26
12100,-57.88,0,0.574,86,-4.033,8
12200,-61.57,0,0.571,86,-5.132,7
12300,-74.04,0,0.567,86,-4.58,24
12400,-64.35,0,0.564,86,-3.505,15
12500,23.44,1,0.56,86,-3.589,26
12600,-58.89,0,0.557,86,-3.491,9
12700,-61.9,0,0.553,86,-3.307,10
12800,-57.92,0,0.55,86,-3.522,12
12900,-82.54,0,0.546,86,-1.94,34
13000,95.82,1,0.543,86,-1.993,8
13100,96.32,1,0.539,86,-1.395,8
13200,91.39,1,0.536,86,-1.97,11
13300,-67.79,0,0.532,86,-2.741,19
13400,-62.78,0,0.529,86,-2.475,18
13500,-68.56,0,0.525,86,-2.76,26
13600,-62.43,0,0.521,86,-1.822,13
13700,-56.79,0,0.518,86,-1.352,9
13800,-85.86,0,0.514,86,-0.788,36
13900,37.53,1,0.511,86,-0.822,17
14000,-82.08,0,0.507,86,-1.092,38
14100,80.28,1,0.504,86,-0.129,22
14200,88.22,1,0.5,86,0.52,18
14300,-63.08,0,0.497,86,0.047,18
14400,58.58,1,0.493,86,-0.057,42
14500,12.02,1,0.49,86,0.445,38
14600,-90.93,0,0.486,86,0.217,43
14700,82.05,1,0.483,86,0.616,25
14800,88.14,1,0.479,86,1.681,16
14900,-58.54,0,0.476,86,2.033,14
15000,96.24,1,0.472,86,2.531,6
15100,71.61,1,0.469,86,3.051,29
15200,-60.41,0,0.465,86,2.529,11
15300,-63.34,0,0.462,86,2.534,14
15400,-72.63,0,0.458,86,3.083,23
15500,96.13,1,0.455,86,2.807,7
15600,-72.05,0,0.451,86,4.133,25
15700,-66.87,0,0.448,86,3.754,17
15800,-60.8,0,0.444,86,3.936,10
15900,-80.44,0,0.441,86,4.603,34
16000,86.21,1,0.437,86,4.76,19
16100,40.06,1,0.434,86,4.415,14
16200,98.37,1,0.43,86,5.069,3
16300,-74.09,0,0.426,86,5.937,19
16400,-63.62,0,0.423,86,5.715,12
16500,-60.69,0,0.419,86,5.777,9
16600,-79.16,0,0.416,86,6.821,46
16700,-61.65,0,0.412,86,6.585,15
16800,-61.55,0,0.409,86,6.42,15
16900,37.56,1,0.405,86,7.215,14
17000,78.3,1,0.402,86,8.177,30
17100,88.25,1,0.398,86,7.869,15
17200,-59.73,0,0.395,86,7.252,13
17300,38.53,1,0.391,86,6.252,17
17400,-65.55,0,0.388,86,7.744,15
17500,79.72,1,0.384,86,7.113,28
17600,90.57,1,0.381,86,8.681,13
17700,94.82,1,0.377,86,9.013,8
17800,90.58,1,0.374,86,9.254,12
17900,83.63,1,0.37,86,9.583,27
18000,99.18,1,0.367,86,9.356,2
18100,98.44,1,0.363,86,10.098,6
18200,81.54,1,0.36,86,10.89,26
18300,97.63,1,0.356,86,12.192,7
18400,89.57,1,0.353,86,11.418,13
18500,84.27,1,0.349,86,11.328,23
18600,81.32,1,0.346,86,12.018,28
18700,-86.33,0,0.342,86,12.193,43
18800,92.51,1,0.339,86,12.016,9
18900,-57.0,0,0.335,86,12.386,10
19000,94.82,1,0.331,86,13.65,8
19100,-59.51,0,0.328,86,12.889,11
19200,-59.19,0,0.324,86,14.082,9
19300,96.94,1,0.321,86,14.606,6
19400,89.86,1,0.317,86,15.399,14
19500,89.51,1,0.314,86,15.688,19
19600,-55.25,0,0.31,86,14.047,5
19700,-61.95,0,0.307,86,14.869,15
19800,99.18,1,0.303,86,14.78,2
19900,90.24,1,0.3,86,15.363,16
20000,90.02,1,0.296,86,15.547,18
20100,-70.08,0,0.293,86,16.387,28
20200,95.82,1,0.289,86,17.467,8
20300,98.25,1,0.286,86,17.756,5
20400,92.33,1,0.282,86,18.502,17
20500,-64.73,0,0.279,86,17.605,23
20600,99.37,1,0.275,86,18.857,3
20700,97.01,1,0.272,86,18.456,9
20800,98.44,1,0.268,86,18.547,6
20900,87.1,1,0.265,86,20.23,20
21000,-60.19,0,0.261,86,19.518,9
21100,-58.79,0,0.258,86,20.053,9
21200,-66.65,0,0.254,86,19.274,25
21300,91.96,1,0.251,86,20.065,14
21400,86.03,1,0.247,86,20.903,17
21500,99.18,1,0.244,86,21.632,2
21600,42.2,1,0.24,86,21.982,10
21700,91.16,1,0.236,86,22.174,14
21800,92.84,1,0.233,86,22.48,16
21900,89.33,1,0.229,86,21.9,17
22000,88.91,1,0.226,86,22.125,19
22100,99.18,1,0.222,86,22.137,2
22200,92.2,1,0.219,86,21.767,10
22300,92.89,1,0.215,86,21.858,11
22400,81.17,1,0.212,86,22.339,23
22500,90.43,1,0.208,86,22.748,17
22600,89.39,1,0.205,86,23.193,21
22700,96.13,1,0.201,86,22.802,7
22800,-55.49,0,0.198,86,22.931,9
22900,85.3,1,0.194,86,22.652,20
23000,76.01,1,0.191,86,22.25,29
