episode,step,px,py,died
50,0,5,12,0
50,1,5,12,0
50,2,5,12,0
50,3,5,12,0
50,4,6,12,0
50,5,7,12,0
50,6,8,12,0
50,7,8,12,0
50,8,8,12,1
100,0,16,7,0
100,1,16,7,0
100,2,16,6,0
100,3,16,6,0
100,4,16,6,0
100,5,16,6,1
150,0,18,13,0
150,1,18,13,0
150,2,18,13,0
150,3,18,13,0
150,4,18,13,0
150,5,18,12,0
150,6,18,12,0
150,7,18,12,0
150,8,18,12,0
150,9,18,12,0
150,10,18,12,0
150,11,18,12,0
150,12,18,12,0
150,13,18,12,0
150,14,18,12,0
150,15,18,12,0
150,16,18,11,0
150,17,18,11,0
150,18,18,11,0
150,19,18,11,0
150,20,18,11,0
150,21,18,11,0
150,22,18,11,0
150,23,18,11,0
150,24,18,10,1
200,0,18,11,0
200,1,18,11,0
200,2,18,11,0
200,3,18,11,0
200,4,18,12,0
200,5,18,12,0
200,6,18,12,0
200,7,18,12,0
200,8,18,12,0
200,9,18,12,0
200,10,18,13,0
200,11,18,14,0
200,12,18,14,0
200,13,18,14,1
250,0,13,14,0
250,1,13,14,0
250,2,13,14,0
250,3,14,14,0
250,4,15,14,0
250,5,16,14,0
250,6,16,14,0
250,7,16,14,0
250,8,17,14,0
250,9,17,14,0
250,10,17,13,0
250,11,17,13,0
250,12,16,13,1
300,0,9,6,0
300,1,9,6,0
300,2,9,6,0
300,3,10,6,0
300,4,10,6,0
300,5,10,6,0
300,6,11,6,0
300,7,12,6,0
300,8,13,6,0
300,9,13,6,0
300,10,13,7,0
300,11,13,7,0
300,12,13,7,0
300,13,13,7,0
300,14,13,7,0
300,15,13,6,0
300,16,13,6,0
300,17,14,6,0
300,18,14,6,0
300,19,14,6,0
300,20,14,6,0
300,21,14,6,0
300,22,14,7,0
300,23,14,7,0
300,24,14,7,0
300,25,14,7,1
350,0,1,14,0
350,1,1,14,0
350,2,1,14,0
350,3,1,15,0
350,4,1,15,0
350,5,1,15,0
350,6,1,15,0
350,7,1,15,0
350,8,1,15,0
350,9,1,15,0
350,10,1,15,0
350,11,1,15,0
350,12,1,15,0
350,13,1,15,0
350,14,1,15,0
350,15,1,15,0
350,16,1,15,0
350,17,1,15,0
350,18,1,15,0
350,19,1,15,0
350,20,1,15,0
350,21,1,16,0
350,22,1,17,0
350,23,1,17,0
350,24,2,17,0
350,25,3,17,0
350,26,4,17,0
350,27,5,17,0
350,28,5,17,0
350,29,5,17,0
350,30,5,17,0
350,31,5,16,0
350,32,5,16,0
350,33,5,16,0
350,34,5,16,0
350,35,4,16,0
350,36,3,16,0
350,37,3,16,0
350,38,2,16,1
400,0,6,15,0
400,1,7,15,0
400,2,8,15,0
400,3,8,15,0
400,4,8,15,0
400,5,8,15,0
400,6,8,15,0
400,7,8,15,0
400,8,9,15,0
400,9,9,15,0
400,10,9,15,1
450,0,12,4,0
450,1,12,4,0
450,2,12,4,0
450,3,12,4,0
450,4,12,5,0
450,5,12,5,0
450,6,13,5,0
450,7,13,5,0
450,8,13,5,0
450,9,13,5,0
450,10,13,5,0
450,11,13,5,0
450,12,13,5,0
450,13,13,5,0
450,14,12,5,0
450,15,12,5,0
450,16,12,5,0
450,17,12,5,0
450,18,12,6,0
450,19,12,7,0
450,20,12,7,0
450,21,12,7,0
450,22,12,7,0
450,23,12,8,0
450,24,12,8,0
450,25,11,8,0
450,26,11,8,0
450,27,11,8,0
450,28,12,8,0
450,29,12,8,0
450,30,12,8,0
450,31,12,8,0
450,32,12,8,0
450,33,12,9,0
450,34,12,10,0
450,35,12,10,0
450,36,12,10,0
450,37,12,10,0
450,38,12,10,0
450,39,12,10,1
500,0,18,9,0
500,1,18,9,0
500,2,18,10,0
500,3,18,10,0
500,4,18,10,0
500,5,18,10,0
500,6,18,10,0
500,7,18,11,0
500,8,18,11,0
500,9,18,12,0
500,10,18,12,0
500,11,18,12,0
500,12,18,11,0
500,13,18,11,0
500,14,18,11,0
500,15,18,10,0
500,16,18,10,0
500,17,17,10,0
500,18,17,10,0
500,19,17,10,0
500,20,17,10,0
500,21,17,10,0
500,22,17,10,0
500,23,17,10,1
550,0,3,3,0
550,1,3,3,0
550,2,3,3,0
550,3,3,3,0
550,4,3,3,0
550,5,3,3,0
550,6,2,3,0
550,7,1,3,0
550,8,1,3,0
550,9,1,4,0
550,10,1,4,0
550,11,1,4,0
550,12,1,4,0
550,13,1,4,0
550,14,1,3,0
550,15,1,3,0
550,16,2,3,0
550,17,2,3,0
550,18,2,2,0
550,19,2,1,0
550,20,2,1,0
550,21,2,1,0
550,22,2,1,0
550,23,2,2,0
550,24,2,2,0
550,25,2,2,0
550,26,2,2,0
550,27,3,2,0
550,28,3,2,0
550,29,3,3,0
550,30,3,3,0
550,31,3,4,0
550,32,3,4,0
550,33,3,4,0
550,34,3,4,0
550,35,3,4,0
550,36,3,5,0
550,37,3,5,0
550,38,4,5,0
550,39,4,5,0
550,40,4,4,0
550,41,4,3,0
550,42,4,3,0
550,43,4,3,0
550,44,3,3,0
550,45,2,3,0
550,46,2,3,0
550,47,2,3,0
550,48,2,3,0
550,49,2,3,0
550,50,2,3,0
550,51,2,3,0
550,52,2,3,1
600,0,7,5,0
600,1,7,5,0
600,2,7,5,0
600,3,7,5,0
600,4,7,5,0
600,5,8,5,0
600,6,9,5,0
600,7,9,5,0
600,8,9,5,0
600,9,8,5,0
600,10,7,5,0
600,11,6,5,0
600,12,6,5,0
600,13,6,5,0
600,14,6,4,0
600,15,6,4,0
600,16,6,4,0
600,17,6,4,0
600,18,6,4,0
600,19,6,4,0
600,20,6,4,0
600,21,6,4,0
600,22,6,4,0
650,0,15,10,0
650,1,15,10,0
650,2,15,10,0
650,3,15,10,0
650,4,15,10,0
650,5,15,10,0
650,6,15,10,0
650,7,15,10,0
650,8,16,10,0
650,9,17,10,0
650,10,17,10,0
650,11,17,10,0
650,12,17,10,0
650,13,17,10,0
650,14,17,9,0
650,15,17,9,0
650,16,17,9,0
650,17,17,8,0
650,18,17,8,0
650,19,17,8,0
650,20,17,9,0
650,21,17,9,0
650,22,17,9,0
650,23,17,9,0
650,24,17,9,0
650,25,17,9,0
650,26,17,9,0
650,27,17,9,0
650,28,17,9,1
700,0,9,17,0
700,1,9,17,0
700,2,9,17,0
700,3,9,17,0
700,4,10,17,0
700,5,10,17,0
700,6,10,18,0
700,7,10,18,0
700,8,10,18,0
700,9,10,18,0
700,10,10,18,0
700,11,10,18,0
700,12,10,18,0
700,13,10,18,0
700,14,10,18,0
700,15,10,18,0
700,16,10,18,0
700,17,10,18,0
700,18,9,18,0
700,19,9,18,0
700,20,9,18,0
700,21,9,18,0
700,22,9,18,0
