episode,reward,win,epsilon,q_size
100,-67.2,0,0.998,121
200,-52.22,0,0.995,127
300,-57.84,0,0.993,127
400,-71.47,0,0.991,129
500,-52.04,0,0.988,130
600,-65.28,0,0.986,133
700,-60.4,0,0.983,133
800,-61.8,0,0.981,133
900,-70.83,0,0.979,133
1000,46.53,1,0.976,133
1100,-55.58,0,0.974,133
1200,-54.7,0,0.972,133
1300,-52.51,0,0.969,133
1400,-55.76,0,0.967,133
1500,-55.11,0,0.964,133
1600,-50.24,0,0.962,133
1700,-53.92,0,0.96,134
1800,-57.01,0,0.957,134
1900,-65.68,0,0.955,134
2000,-56.1,0,0.953,134
2100,-57.07,0,0.95,134
2200,-51.61,0,0.948,134
2300,-54.05,0,0.945,134
2400,-52.92,0,0.943,134
2500,-59.95,0,0.941,134
2600,-60.05,0,0.938,134
2700,-54.23,0,0.936,134
2800,-54.32,0,0.934,134
2900,-52.82,0,0.931,134
3000,98.33,1,0.929,134
3100,-54.02,0,0.926,134
3200,87.8,1,0.924,134
3300,-53.76,0,0.922,134
3400,-55.45,0,0.919,134
3500,-53.25,0,0.917,134
3600,-53.55,0,0.915,134
3700,47.91,1,0.912,134
3800,-55.03,0,0.91,134
3900,-51.58,0,0.907,134
4000,-55.64,0,0.905,134
4100,-55.83,0,0.903,134
4200,-55.87,0,0.9,134
4300,-55.16,0,0.898,134
4400,-53.41,0,0.896,134
4500,-57.28,0,0.893,134
4600,-53.73,0,0.891,134
4700,-53.66,0,0.888,134
4800,-54.18,0,0.886,134
4900,86.86,1,0.884,134
5000,-67.97,0,0.881,134
5100,-53.66,0,0.879,134
5200,-54.48,0,0.877,134
5300,-54.21,0,0.874,134
5400,100.38,1,0.872,134
5500,-54.48,0,0.869,134
5600,-51.33,0,0.867,134
5700,96.88,1,0.865,134
5800,-66.9,0,0.862,134
5900,-54.54,0,0.86,134
6000,-60.09,0,0.858,134
6100,48.08,1,0.855,134
6200,-54.17,0,0.853,134
6300,-52.79,0,0.85,134
6400,-55.89,0,0.848,134
6500,97.97,1,0.846,134
6600,-50.44,0,0.843,134
6700,97.42,1,0.841,134
6800,-58.02,0,0.839,134
6900,-55.13,0,0.836,134
7000,-57.53,0,0.834,134
7100,-53.48,0,0.831,134
7200,-60.02,0,0.829,134
7300,-55.88,0,0.827,134
7400,-54.4,0,0.824,134
7500,-51.26,0,0.822,134
7600,-56.86,0,0.82,134
7700,-50.92,0,0.817,134
7800,-51.88,0,0.815,134
7900,96.37,1,0.812,134
8000,-55.82,0,0.81,134
8100,-54.09,0,0.808,134
8200,-56.91,0,0.805,134
