episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,win,epsilon
1,-136.71,1001,166.83,1,1,79,2,0,0.9995
2,-131.36,1001,166.83,3,3,79,0,0,0.999
3,1018.61,629,104.83,2,0,50,3,1,0.9985
4,-117.46,1001,166.83,1,1,77,2,0,0.998
5,-1196.97,732,122.0,0,2,54,1,0,0.9975
6,-135.46,1001,166.83,3,3,78,0,0,0.997
7,-187.51,1001,166.83,1,2,78,1,0,0.9965
8,-1162.71,896,149.33,0,1,68,2,0,0.996
9,-124.71,1001,166.83,3,3,76,0,0,0.9955
10,1067.58,717,119.5,3,0,52,3,1,0.995
11,1000.91,379,63.17,1,0,29,3,1,0.9945
12,1078.93,147,24.5,2,0,11,3,1,0.994
13,1066.5,255,42.5,2,0,19,3,1,0.9935
14,-130.56,1001,166.83,2,2,80,1,0,0.993
15,-139.01,1001,166.83,2,2,74,1,0,0.9925
16,-136.91,1001,166.83,3,3,75,0,0,0.992
17,1055.04,311,51.83,2,0,27,3,1,0.9915
18,-236.51,1001,166.83,1,3,81,0,0,0.991
19,1073.68,622,103.67,3,0,46,3,1,0.9905
20,-1199.8,775,129.17,0,2,63,1,0,0.99
21,-237.41,1001,166.83,1,3,78,0,0,0.9896
22,976.41,514,85.67,1,0,41,3,1,0.9891
23,-1219.77,517,86.17,0,3,43,0,0,0.9886
24,-27.66,1001,166.83,3,1,77,2,0,0.9881
25,-142.56,1001,166.83,3,3,74,0,0,0.9876
26,-171.06,1001,166.83,1,2,73,1,0,0.9871
27,-123.71,1001,166.83,3,3,75,0,0,0.9866
28,1068.35,245,40.83,2,0,19,3,1,0.9861
29,-125.06,1001,166.83,2,2,72,1,0,0.9856
30,-130.61,1001,166.83,2,2,77,1,0,0.9851
31,-1201.0,705,117.5,0,2,55,1,0,0.9846
32,-93.21,1001,166.83,3,2,78,1,0,0.9841
33,-121.21,1001,166.83,3,3,77,0,0,0.9836
34,990.03,467,77.83,1,0,36,3,1,0.9831
35,-1134.99,239,39.83,0,2,19,1,0,0.9826
36,949.43,847,141.17,1,0,67,3,1,0.9822
37,-131.11,1001,166.83,3,3,77,0,0,0.9817
38,-130.06,1001,166.83,2,2,82,1,0,0.9812
39,987.49,851,141.83,2,0,67,3,1,0.9807
40,-138.11,1001,166.83,2,2,71,1,0,0.9802
41,1007.27,733,122.17,2,0,57,3,1,0.9797
42,-76.56,1001,166.83,3,2,75,1,0,0.9792
43,-1213.72,407,67.83,0,3,33,0,0,0.9787
44,-1175.38,503,83.83,0,2,38,1,0,0.9782
45,1027.33,162,27.0,1,0,12,3,1,0.9777
46,-1140.6,660,110.0,0,1,49,2,0,0.9773
47,-122.86,1001,166.83,3,3,77,0,0,0.9768
48,1024.67,963,160.5,3,0,76,3,1,0.9763
49,-138.71,1001,166.83,3,3,77,0,0,0.9758
50,-88.41,1001,166.83,3,2,81,1,0,0.9753
51,-129.46,1001,166.83,3,3,81,0,0,0.9748
52,-133.91,1001,166.83,2,2,76,1,0,0.9743
53,-141.01,1001,166.83,3,3,76,0,0,0.9738
54,996.72,398,66.33,1,0,31,3,1,0.9734
55,-81.71,1001,166.83,2,1,80,2,0,0.9729
56,-1212.72,862,143.67,0,2,67,1,0,0.9724
57,993.57,893,148.83,2,0,68,3,1,0.9719
58,-1174.47,572,95.33,0,2,48,1,0,0.9714
59,-1103.78,398,66.33,0,1,31,2,0,0.9709
60,1128.93,177,29.5,3,0,15,3,1,0.9704
61,-22.11,1001,166.83,3,1,79,2,0,0.97
62,-140.96,1001,166.83,1,1,76,2,0,0.9695
63,-129.91,1001,166.83,3,3,75,0,0,0.969
64,-139.71,1001,166.83,3,3,77,0,0,0.9685
65,-169.66,1001,166.83,1,2,76,1,0,0.968
66,-173.36,1001,166.83,1,2,81,1,0,0.9675
67,968.56,639,106.5,1,0,49,3,1,0.967
68,-126.61,1001,166.83,2,2,76,1,0,0.9666
69,-220.16,1001,166.83,1,3,77,0,0,0.9661
70,-182.81,1001,166.83,2,3,76,0,0,0.9656
71,-129.01,1001,166.83,2,2,73,1,0,0.9651
72,-195.16,1001,166.83,1,2,76,1,0,0.9646
73,-1200.16,406,67.67,0,3,32,0,0,0.9641
74,-84.46,1001,166.83,3,2,71,1,0,0.9637
75,-1193.96,316,52.67,0,3,26,0,0,0.9632
76,-192.21,1001,166.83,2,3,74,0,0,0.9627
77,-134.76,1001,166.83,2,2,77,1,0,0.9622
78,-137.96,1001,166.83,2,2,74,1,0,0.9617
79,-169.06,1001,166.83,2,3,77,0,0,0.9613
80,-117.21,1001,166.83,2,2,71,1,0,0.9608
81,-181.91,1001,166.83,2,3,76,0,0,0.9603
82,1047.17,813,135.5,3,0,63,3,1,0.9598
83,-130.31,1001,166.83,3,3,77,0,0,0.9593
84,994.84,791,131.83,2,0,59,3,1,0.9589
85,-122.16,1001,166.83,3,3,76,0,0,0.9584
86,-128.61,1001,166.83,3,3,77,0,0,0.9579
87,-18.11,1001,166.83,3,1,71,2,0,0.9574
88,-121.66,1001,166.83,1,1,74,2,0,0.9569
89,-131.51,1001,166.83,3,3,76,0,0,0.9565
90,949.63,737,122.83,1,0,58,3,1,0.956
91,1073.53,227,37.83,2,0,18,3,1,0.9555
92,1072.47,518,86.33,3,0,41,3,1,0.955
93,-167.76,1001,166.83,2,3,77,0,0,0.9546
94,-1228.18,723,120.5,0,3,59,0,0,0.9541
95,-27.16,1001,166.83,3,1,77,2,0,0.9536
96,-129.06,1001,166.83,3,3,78,0,0,0.9531
97,983.94,581,96.83,1,0,47,3,1,0.9526
98,-175.96,1001,166.83,2,3,74,0,0,0.9522
99,-1228.31,561,93.5,0,3,45,0,0,0.9517
100,-1232.34,589,98.17,0,3,44,0,0,0.9512
101,-123.76,1001,166.83,3,3,75,0,0,0.9507
102,1037.28,507,84.5,2,0,40,3,1,0.9503
103,943.47,813,135.5,1,0,64,3,1,0.9498
104,1073.96,194,32.33,2,0,16,3,1,0.9493
105,-111.56,1001,166.83,1,1,73,2,0,0.9488
106,1031.99,571,95.17,2,0,43,3,1,0.9484
107,1082.9,595,99.17,3,0,46,3,1,0.9479
108,-132.36,1001,166.83,2,2,78,1,0,0.9474
109,-124.16,1001,166.83,3,3,78,0,0,0.9469
110,-1179.13,988,164.67,0,1,74,2,0,0.9465
111,-16.86,1001,166.83,3,1,78,2,0,0.946
112,-123.91,1001,166.83,3,3,75,0,0,0.9455
113,-165.66,1001,166.83,1,2,79,1,0,0.9451
114,-122.61,1001,166.83,2,2,79,1,0,0.9446
115,-180.41,1001,166.83,2,3,76,0,0,0.9441
116,-118.76,1001,166.83,3,3,79,0,0,0.9436
117,-1171.0,535,89.17,0,2,40,1,0,0.9432
118,-175.91,1001,166.83,1,2,75,1,0,0.9427
119,-31.81,1001,166.83,3,1,74,2,0,0.9422
