episode,reward,steps,win,epsilon,q_size,avg_q,outcome
100,362.51,207,1,0.998,82,4.569,Win
200,-779.52,600,0,0.996,82,6.413,Timeout
300,496.08,88,1,0.993,82,8.765,Win
400,122.6,348,1,0.991,82,9.629,Win
500,-48.0,460,1,0.989,82,12.593,Win
600,289.65,274,1,0.987,82,15.396,Win
700,-99.15,310,1,0.984,82,16.985,Win
800,182.26,232,1,0.982,82,19.16,Win
900,101.25,462,1,0.98,82,21.233,Win
1000,116.9,335,1,0.978,82,22.644,Win
1100,384.36,170,1,0.975,82,24.4,Win
1200,-839.14,600,0,0.973,82,28.343,Timeout
1300,-594.03,600,0,0.971,82,30.855,Timeout
1400,395.3,221,1,0.969,82,33.07,Win
1500,424.1,138,1,0.966,82,34.442,Win
1600,417.03,189,1,0.964,82,36.895,Win
1700,381.15,77,1,0.962,82,38.421,Win
1800,359.68,236,1,0.96,82,38.434,Win
1900,-982.52,600,0,0.958,82,40.151,Timeout
2000,253.1,245,1,0.955,82,43.612,Win
2100,-525.03,600,0,0.953,82,45.074,Timeout
2200,250.33,283,1,0.951,82,46.048,Win
2300,176.1,418,1,0.949,82,49.169,Win
2400,530.6,35,1,0.946,82,51.483,Win
2500,370.98,190,1,0.944,82,54.416,Win
2600,327.03,189,1,0.942,82,56.328,Win
2700,-670.69,600,0,0.94,82,57.235,Timeout
2800,26.25,362,1,0.937,82,61.519,Win
2900,8.4,319,1,0.935,82,62.151,Win
3000,150.4,372,1,0.933,82,64.462,Win
3100,202.28,284,1,0.931,82,68.069,Win
3200,270.36,170,1,0.928,82,70.176,Win
3300,448.73,95,1,0.926,82,71.546,Win
3400,302.08,288,1,0.924,82,72.382,Win
3500,-699.52,600,0,0.922,82,75.016,Timeout
3600,-688.14,600,0,0.92,82,76.242,Timeout
3700,229.4,139,1,0.917,82,78.622,Win
3800,111.85,343,1,0.915,82,80.213,Win
3900,312.78,234,1,0.913,82,82.664,Win
4000,59.8,377,1,0.911,82,84.492,Win
4100,415.73,155,1,0.908,82,87.004,Win
4200,170.65,414,1,0.906,82,88.736,Win
4300,168.2,456,1,0.904,82,89.875,Win
4400,292.78,214,1,0.902,82,91.7,Win
4500,-531.75,600,0,0.899,82,93.432,Timeout
4600,427.15,137,1,0.897,82,96.593,Win
4700,263.2,409,1,0.895,82,97.444,Win
4800,89.36,250,1,0.893,82,99.316,Win
4900,391.21,173,1,0.89,82,101.181,Win
5000,123.1,465,1,0.888,82,102.82,Win
5100,163.81,461,1,0.886,82,104.539,Win
5200,353.75,118,1,0.884,82,106.006,Win
5300,-756.35,600,0,0.882,82,106.664,Timeout
5400,356.41,109,1,0.879,82,110.324,Win
5500,-68.75,448,1,0.877,82,111.869,Win
5600,-663.37,600,0,0.875,82,113.132,Timeout
5700,243.4,312,1,0.873,82,114.942,Win
5800,419.25,108,1,0.87,82,116.99,Win
5900,384.51,207,1,0.868,82,118.263,Win
6000,337.85,103,1,0.866,82,120.747,Win
6100,-201.45,322,1,0.864,82,122.371,Win
6200,179.8,357,1,0.861,82,124.17,Win
6300,446.7,66,1,0.859,82,126.902,Win
6400,160.83,253,1,0.857,82,127.546,Win
6500,336.93,151,1,0.855,82,129.561,Win
6600,439.3,101,1,0.852,82,130.44,Win
6700,532.0,47,1,0.85,82,133.175,Win
6800,85.63,377,1,0.848,82,134.045,Win
6900,427.6,95,1,0.846,82,135.284,Win
7000,453.25,175,1,0.844,82,135.257,Win
7100,-71.57,501,1,0.841,82,137.368,Win
7200,465.11,95,1,0.839,82,138.343,Win
7300,239.5,297,1,0.837,82,140.17,Win
7400,-34.69,531,1,0.835,82,140.695,Win
7500,285.35,366,1,0.832,82,141.262,Win
7600,316.61,185,1,0.83,82,142.5,Win
7700,-243.15,516,1,0.828,82,143.183,Win
7800,-239.2,411,1,0.826,82,146.445,Win
7900,501.8,64,1,0.823,82,146.738,Win
8000,199.03,289,1,0.821,82,149.336,Win
8100,201.18,326,1,0.819,82,148.346,Win
8200,523.9,35,1,0.817,82,148.962,Win
8300,41.12,522,1,0.814,82,150.894,Win
8400,364.06,256,1,0.812,82,152.3,Win
8500,364.71,323,1,0.81,82,154.742,Win
8600,445.61,165,1,0.808,82,156.577,Win
8700,168.1,405,1,0.806,82,157.54,Win
8800,521.48,60,1,0.803,82,158.26,Win
8900,233.8,124,1,0.801,82,159.521,Win
9000,476.75,92,1,0.799,82,160.037,Win
9100,129.9,329,1,0.797,82,158.724,Win
9200,276.5,257,1,0.794,82,160.882,Win
9300,335.55,102,1,0.792,82,161.39,Win
9400,161.25,308,1,0.79,82,162.579,Win
9500,135.41,349,1,0.788,82,164.717,Win
9600,401.21,73,1,0.785,82,167.296,Win
9700,388.41,149,1,0.783,82,168.595,Win
9800,498.41,89,1,0.781,82,170.26,Win
9900,378.0,93,1,0.779,82,172.41,Win
10000,-145.5,117,0,0.776,82,175.265,Death
10100,-343.65,200,0,0.598,82,172.644,Death
10200,-109.19,77,0,0.596,82,170.869,Death
10300,-194.45,69,0,0.593,82,167.095,Death
10400,-520.64,450,0,0.591,82,163.378,Death
10500,-52.35,34,0,0.589,82,160.974,Death
10600,472.7,73,1,0.587,82,156.866,Win
10700,-183.45,129,0,0.584,82,152.322,Death
10800,-294.65,260,0,0.582,82,151.157,Death
10900,-153.49,127,0,0.58,82,146.978,Death
11000,-102.1,35,0,0.578,82,144.161,Death
11100,452.93,91,1,0.575,82,142.227,Win
11200,-116.92,128,0,0.573,82,138.046,Death
11300,-291.62,142,0,0.571,82,134.899,Death
11400,512.16,74,1,0.569,82,132.947,Win
11500,-59.67,43,0,0.566,82,131.48,Death
11600,-140.0,100,0,0.564,82,128.737,Death
11700,-59.35,40,0,0.562,82,126.584,Death
11800,-190.5,230,0,0.56,82,123.39,Death
