episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,epsilon
1,-59.95,1001,166.83,1,1,69,2,0.9995
2,-59.07,1001,166.83,3,2,68,1,0.999
3,-59.23,1001,166.83,2,2,72,1,0.9985
4,-59.42,1001,166.83,3,2,72,1,0.998
5,-58.99,1001,166.83,3,1,69,2,0.9975
6,-58.82,1001,166.83,2,2,67,1,0.997
7,-58.93,1001,166.83,2,2,74,1,0.9965
8,-58.89,1001,166.83,3,2,70,1,0.996
9,-58.01,1001,166.83,2,1,67,2,0.9955
10,-59.65,1001,166.83,1,1,73,2,0.995
11,58.72,694,115.67,3,0,51,3,0.9945
12,-58.75,1001,166.83,1,2,70,1,0.994
13,58.55,703,117.17,2,0,50,3,0.9935
14,-141.28,699,116.5,0,1,50,2,0.993
15,-59.24,1001,166.83,3,1,71,2,0.9925
16,-59.44,1001,166.83,1,2,75,1,0.992
17,-59.56,1001,166.83,3,3,74,0,0.9915
18,77.83,372,62.0,3,0,28,3,0.991
19,-59.19,1001,166.83,1,2,70,1,0.9905
20,66.67,556,92.67,2,0,38,3,0.99
21,-58.45,1001,166.83,3,2,71,1,0.9896
22,-59.27,1001,166.83,1,2,72,1,0.9891
23,-60.43,1001,166.83,3,3,71,0,0.9886
24,-59.09,1001,166.83,1,1,72,2,0.9881
25,77.34,382,63.67,2,0,28,3,0.9876
26,-59.46,1001,166.83,1,1,76,2,0.9871
27,-142.74,710,118.33,0,1,51,2,0.9866
28,43.24,946,157.67,1,0,69,3,0.9861
29,-137.92,633,105.5,0,3,43,0,0.9856
30,-59.56,1001,166.83,3,3,74,0,0.9851
31,-59.21,1001,166.83,2,3,69,0,0.9846
32,-59.84,1001,166.83,2,2,71,1,0.9841
33,-58.63,1001,166.83,3,3,70,0,0.9836
34,59.67,685,114.17,3,0,49,3,0.9831
35,-59.21,1001,166.83,3,3,71,0,0.9826
36,-58.77,1001,166.83,3,3,68,0,0.9822
37,-157.73,986,164.33,0,1,72,2,0.9817
38,-59.53,1001,166.83,1,2,72,1,0.9812
39,-58.75,1001,166.83,1,3,73,0,0.9807
40,-123.45,392,65.33,0,3,29,0,0.9802
41,-59.76,1001,166.83,1,2,72,1,0.9797
42,-155.77,943,157.17,0,2,67,1,0.9792
43,68.01,541,90.17,2,0,37,3,0.9787
44,72.86,460,76.67,2,0,34,3,0.9782
45,50.33,837,139.5,3,0,63,3,0.9777
46,-60.17,1001,166.83,3,1,71,2,0.9773
47,-129.87,512,85.33,0,1,37,2,0.9768
48,53.51,791,131.83,3,0,52,3,0.9763
49,-59.21,1001,166.83,1,2,69,1,0.9758
50,-58.98,1001,166.83,1,3,69,0,0.9753
51,-58.72,1001,166.83,3,3,67,0,0.9748
52,84.59,259,43.17,1,0,19,3,0.9743
53,55.56,742,123.67,1,0,51,3,0.9738
54,48.02,874,145.67,2,0,64,3,0.9734
55,-60.02,1001,166.83,3,1,74,2,0.9729
56,-59.62,1001,166.83,3,3,72,0,0.9724
57,-59.62,1001,166.83,3,1,74,2,0.9719
58,-58.89,1001,166.83,3,3,75,0,0.9714
59,57.28,720,120.0,1,0,54,3,0.9709
60,-153.05,894,149.0,0,1,66,2,0.9704
61,-59.49,1001,166.83,1,3,71,0,0.97
62,-115.06,252,42.0,0,2,20,1,0.9695
63,-58.65,1001,166.83,3,2,74,1,0.969
64,84.8,251,41.83,2,0,21,3,0.9685
65,-59.17,1001,166.83,3,3,68,0,0.968
66,-59.79,1001,166.83,1,2,71,1,0.9675
67,-109.85,168,28.0,0,2,12,1,0.967
68,-59.75,1001,166.83,1,2,70,1,0.9666
69,-112.6,214,35.67,0,3,13,0,0.9661
70,-106.1,102,17.0,0,3,9,0,0.9656
71,-121.26,359,59.83,0,2,23,1,0.9651
72,-58.62,1001,166.83,3,2,65,1,0.9646
73,-60.38,1001,166.83,2,2,75,1,0.9641
74,-58.79,1001,166.83,2,1,66,2,0.9637
75,-59.65,1001,166.83,3,3,67,0,0.9632
76,-58.47,1001,166.83,2,3,71,0,0.9627
77,-59.49,1001,166.83,1,1,66,2,0.9622
78,-59.37,1001,166.83,1,1,69,2,0.9617
79,-59.66,1001,166.83,3,2,71,1,0.9613
80,-127.34,461,76.83,0,2,32,1,0.9608
81,-144.58,753,125.5,0,1,52,2,0.9603
82,-59.63,1001,166.83,3,3,71,0,0.9598
83,-59.6,1001,166.83,2,2,77,1,0.9593
84,-129.86,509,84.83,0,2,33,1,0.9589
85,-59.42,1001,166.83,3,1,68,2,0.9584
86,-59.52,1001,166.83,1,2,70,1,0.9579
87,-59.25,1001,166.83,2,3,70,0,0.9574
88,-133.7,567,94.5,0,3,42,0,0.9569
89,63.37,608,101.33,2,0,45,3,0.9565
90,-155.2,926,154.33,0,1,69,2,0.956
91,47.84,878,146.33,1,0,66,3,0.9555
92,-58.54,1001,166.83,3,1,70,2,0.955
93,-59.34,1001,166.83,1,2,68,1,0.9546
94,-59.39,1001,166.83,1,2,73,1,0.9541
95,-59.35,1001,166.83,3,2,69,1,0.9536
96,-125.38,432,72.0,0,3,32,0,0.9531
97,-58.62,1001,166.83,3,2,67,1,0.9526
98,49.27,855,142.5,3,0,59,3,0.9522
99,81.35,316,52.67,1,0,25,3,0.9517
100,70.02,500,83.33,2,0,33,3,0.9512
101,-154.42,923,153.83,0,3,65,0,0.9507
102,-59.93,1001,166.83,3,3,72,0,0.9503
103,-118.33,306,51.0,0,3,22,0,0.9498
104,-60.19,1001,166.83,2,2,75,1,0.9493
105,62.43,631,105.17,2,0,41,3,0.9488
106,-58.78,1001,166.83,3,3,73,0,0.9484
107,-58.67,1001,166.83,2,2,67,1,0.9479
108,-58.96,1001,166.83,1,2,68,1,0.9474
109,80.43,323,53.83,2,0,22,3,0.9469
110,-150.96,857,142.83,0,1,59,2,0.9465
111,-59.75,1001,166.83,1,3,75,0,0.946
112,-59.87,1001,166.83,1,1,65,2,0.9455
113,-60.1,1001,166.83,2,1,72,2,0.9451
114,59.28,680,113.33,3,0,51,3,0.9446
115,61.59,649,108.17,3,0,45,3,0.9441
116,-144.9,759,126.5,0,1,51,2,0.9436
117,-59.81,1001,166.83,1,2,67,1,0.9432
118,53.29,795,132.5,1,0,53,3,0.9427
119,-114.85,245,40.83,0,1,18,2,0.9422
120,-59.18,1001,166.83,3,1,68,2,0.9418
121,-58.78,1001,166.83,2,1,66,2,0.9413
122,-59.59,1001,166.83,3,3,70,0,0.9408
123,74.52,429,71.5,1,0,30,3,0.9403
124,-60.03,1001,166.83,1,2,71,1,0.9399
125,-59.43,1001,166.83,2,3,69,0,0.9394
126,-59.6,1001,166.83,1,3,72,0,0.9389
127,-59.96,1001,166.83,2,2,76,1,0.9385
128,-59.55,1001,166.83,3,2,70,1,0.938
129,85.6,244,40.67,1,0,17,3,0.9375
130,74.7,432,72.0,2,0,29,3,0.9371
131,-58.57,1001,166.83,2,3,69,0,0.9366
132,-60.42,1001,166.83,3,1,75,2,0.9361
133,49.41,850,141.67,3,0,58,3,0.9356
134,-60.14,1001,166.83,1,3,68,0,0.9352
135,80.0,341,56.83,2,0,23,3,0.9347
136,-156.04,951,158.5,0,1,67,2,0.9342
137,71.3,476,79.33,1,0,31,3,0.9338
138,-59.47,1001,166.83,3,2,69,1,0.9333
139,-58.77,1001,166.83,2,2,66,1,0.9328
140,-59.6,1001,166.83,3,2,68,1,0.9324
141,-58.88,1001,166.83,3,3,63,0,0.9319
142,51.95,817,136.17,3,0,58,3,0.9314
143,-129.66,500,83.33,0,3,34,0,0.931
144,-135.04,592,98.67,0,3,40,0,0.9305
145,-138.64,650,108.33,0,3,46,0,0.93
146,-152.88,892,148.67,0,2,63,1,0.9296
147,80.95,328,54.67,2,0,22,3,0.9291
148,-115.65,267,44.5,0,1,17,2,0.9287
149,-59.09,1001,166.83,2,1,66,2,0.9282
150,-145.9,770,128.33,0,3,54,0,0.9277
151,-153.73,907,151.17,0,3,65,0,0.9273
152,49.93,845,140.83,1,0,59,3,0.9268
153,-59.34,1001,166.83,3,3,71,0,0.9263
154,-59.4,1001,166.83,3,3,70,0,0.9259
155,-143.8,736,122.67,0,1,53,2,0.9254
156,-143.32,720,120.0,0,2,45,1,0.9249
157,51.02,832,138.67,1,0,57,3,0.9245
158,50.01,840,140.0,2,0,62,3,0.924
